date,Q,target
2025-03-05,1266.74342705751,1525.16
2025-03-06,1220.1280000000004,1486.75
2025-03-07,1206.26342705751,1462.16
2025-03-08,1169.7280000000005,1433.6
2025-03-09,1146.8800000000003,1391.62
2025-03-10,1113.2960000000003,1351.05
2025-03-11,1097.70342705751,1317.11
2025-03-12,1053.6880000000003,1291.27
2025-03-13,1033.0160000000003,1265.87
2025-03-14,1012.6960000000003,1253.45
2025-03-15,1002.7600000000003,1241.58
2025-03-16,1010.1274270575097,1278.62
2025-03-17,1022.8960000000003,1350.72
2025-03-18,1097.43942705751,1358.3
2025-03-19,1086.6400000000003,1308.37
2025-03-20,1063.55942705751,1240.48
2025-03-21,992.3840000000004,1188.3
2025-03-22,967.5034270575098,1147.99
2025-03-23,918.3920000000003,1121.22
2025-03-24,913.8394270575099,1107.9
2025-03-25,886.3200000000004,1103.34
2025-03-26,899.5354270575098,1086.34
2025-03-27,869.0720000000002,1063.14
2025-03-28,850.5120000000004,1071.78
2025-03-29,874.2874270575098,1072.92
2025-03-30,858.3360000000004,1056.74
2025-03-31,862.2554270575098,1025.39
2025-04-01,820.3120000000004,1003.28
2025-04-02,819.4874270575098,985.71
2025-04-03,788.5680000000003,968.51
2025-04-04,791.6714270575097,969.58
2025-04-05,775.6640000000003,963.95
2025-04-06,788.0234270575098,938.77
2025-04-07,751.0160000000002,919.33
2025-04-08,752.3274270575098,900.76
2025-04-09,720.6080000000003,888.23
2025-04-10,710.5840000000003,881.39
2025-04-11,721.9754270575097,875.29
2025-04-12,700.2320000000002,860.58
2025-04-13,688.4640000000003,849.24
2025-04-14,696.2554270575098,849.41
2025-04-15,679.5280000000002,849.7
2025-04-16,696.6234270575097,843.54
2025-04-17,674.8320000000002,852.11
2025-04-18,698.5514270575097,870.83
2025-04-19,696.6640000000002,912.2
2025-04-20,746.6234270575098,949.02
2025-04-21,759.2160000000002,1027.26
2025-04-22,838.6714270575097,1083.56
2025-04-23,866.8480000000003,1061.7
2025-04-24,866.2234270575099,1087.06
2025-04-25,869.6480000000003,1218.19
2025-04-26,1029.4519944261308,1281.67
2025-04-27,1025.3360000000005,1261.0
2025-04-28,1008.8000000000003,1219.04
2025-04-29,1155.8200364922538,1199.98
2025-04-30,959.9840000000004,1166.68
