date,Q,target
2025-05-20,701.3707354130017,920.64
2025-05-21,663.8052150945433,896.4
2025-05-22,629.9842675989719,874.08
2025-05-23,598.5768848839531,862.68
2025-05-24,571.6820625698507,866.3
2025-05-25,550.1872559669007,902.04
2025-05-26,538.2420139542737,993.12
2025-05-27,541.5367681942737,1070.14
2025-05-28,542.6167582554426,1101.23
2025-05-29,533.418575853248,1118.41
2025-05-30,521.8593136679714,1093.13
2025-05-31,500.7208061260973,1088.32
2025-06-01,485.6614511837698,1101.57
2025-06-02,476.010603570463,1142.02
2025-06-03,473.9905311728803,1194.46
2025-06-04,475.740927292669,1202.97
2025-06-05,486.53103726672964,1186.19
2025-06-06,972.7467492675103,1248.81
2025-06-07,944.0963066117783,1375.5
2025-06-08,1001.6973152764281,1504.67
2025-06-09,1505.1551233251027,1523.09
2025-06-10,1662.5417105338463,1502.0
2025-06-11,1605.8614147571543,1516.42
2025-06-12,1519.5660205835004,1535.05
2025-06-13,1665.3526509433311,1494.31
2025-06-14,1560.6299320766968,1438.74
2025-06-15,1514.2441936346731,1360.84
2025-06-16,1411.317551589968,1317.38
2025-06-17,1428.7257232403815,1295.31
2025-06-18,1583.8104878283614,1272.55
2025-06-19,1686.3103125619425,1245.68
2025-06-20,2698.551174246337,1232.52
2025-06-21,2683.69026590902,1184.48
2025-06-22,2461.052491519428,1131.85
2025-06-23,2398.1366762026632,1085.97
2025-06-24,2205.0673064729904,1035.21
2025-06-25,2029.2254459047795,993.16
2025-06-26,1871.8120108981386,979.46
2025-06-27,1911.8571700330965,966.96
2025-06-28,1773.883310619509,962.66
2025-06-29,1650.750947648327,940.06
2025-06-30,1534.4136459407391,911.19
2025-07-01,1426.6387775351366,887.6
2025-07-02,1329.2291031505752,878.07
2025-07-03,1243.4284285381495,873.99
2025-07-04,1166.2481405595713,838.2
2025-07-05,1129.1233309593367,815.54
2025-07-06,1076.5841235475884,807.28
2025-07-07,1011.6367862800747,809.74
2025-07-08,1410.5359027560348,822.48
2025-07-09,1445.250677055733,848.61
2025-07-10,1361.04900804438,860.99
2025-07-11,1281.0208791974683,855.48
2025-07-12,1203.3888922036895,853.99
2025-07-13,1132.9716251818274,876.17
2025-07-14,1074.09553706887,894.63
2025-07-15,1230.0049436986487,892.94
2025-07-16,1159.1205212484952,880.47
2025-07-17,1091.1159905944191,881.78
2025-07-18,1178.367125166129,875.21
2025-07-19,1410.973309595321,872.68
2025-07-20,1366.5831000530552,882.07
2025-07-21,1286.2996963757494,884.33
2025-07-22,1211.012711226352,884.55
2025-07-23,1141.3495478553816,895.65
2025-07-24,1079.9658925055912,925.35
2025-07-25,1028.2794353132276,970.56
2025-07-26,985.0597970904139,1051.04
2025-07-27,1063.2353054726107,1060.31
2025-07-28,1218.2777435508333,1041.16
2025-07-29,1188.021394685792,1068.35
2025-07-30,1130.8547487310454,1172.03
2025-07-31,1097.7663936959618,1331.14
2025-08-01,1255.0053520187312,1489.23
2025-08-02,1479.8389661052931,1585.8
2025-08-03,1692.707689237527,1620.68
2025-08-04,1639.556300513941,1613.85
2025-08-05,1633.0926971712433,1596.71
2025-08-06,1538.9729768022285,1612.13
2025-08-07,1460.5107829797817,1624.61
2025-08-08,1388.099777783182,1571.04
2025-08-09,1502.0871311597111,1505.9
2025-08-10,1528.6109264142249,1468.54
2025-08-11,1436.3137434271916,1405.83
2025-08-12,1483.194993026338,1328.9
2025-08-13,1445.417612625021,1255.92
2025-08-14,1549.042288493769,1180.47
2025-08-15,1515.9791668815806,1106.01
2025-08-16,1499.7244072875017,1045.25
2025-08-17,1477.2661371106267,998.67
2025-08-18,1468.2267790050955,956.4
2025-08-19,1368.8171061050998,927.64
2025-08-20,1280.1995958493624,903.15
2025-08-21,1199.3450406894624,883.57
2025-08-22,1125.7746566978662,862.26
2025-08-23,1057.2599285437975,845.23
2025-08-24,994.7963732256746,832.93
2025-08-25,938.0435065370997,907.66
2025-08-26,907.1708317075972,1113.73
2025-08-27,912.8921988974339,1206.32
2025-08-28,893.6759083989929,1174.79
2025-08-29,846.5679504376428,1121.69
2025-08-30,824.7255681803417,1097.05
2025-08-31,782.9396245838054,1107.52
2025-09-01,752.4954528450127,1213.95
2025-09-02,748.3966285327915,1359.48
2025-09-03,756.2387443010176,1378.81
2025-09-04,794.9340309196843,1329.27
2025-09-05,753.8168427561372,1270.87
2025-09-06,712.4763918440159,1251.44
2025-09-07,682.7156001664731,1244.45
2025-09-08,657.7610708103584,1242.3
2025-09-09,635.5842091543249,1352.24
2025-09-10,647.9781309718319,1517.94
2025-09-11,919.4611478051797,1531.51
2025-09-12,921.2161699149207,1511.53
2025-09-13,1041.4722134191738,1475.9
2025-09-14,989.1994194511078,1429.42
2025-09-15,937.3282848624519,1396.74
2025-09-16,1133.7015312927629,1362.05
2025-09-17,1146.0363622906243,1336.18
2025-09-18,1085.3711841191384,1308.62
2025-09-19,1028.342173595374,1273.23
