date,Q,target
2021-03-22,39.28250000000002,36.61
2021-03-23,34.77950000000001,34.61
2021-03-24,32.879500000000014,32.07
2021-03-25,30.466500000000014,28.84
2021-03-26,27.39800000000001,27.41
2021-03-27,26.03950000000001,29.6
2021-03-28,28.12000000000001,29.09
2021-03-29,27.63550000000001,28.84
2021-03-30,27.39800000000001,23.86
2021-03-31,22.66700000000001,23.46
2021-04-01,22.28700000000001,20.7
2021-04-02,19.665000000000006,20.41
2021-04-03,19.38950000000001,22.19
2021-04-04,21.08050000000001,19.86
2021-04-05,18.867000000000008,18.89
2021-04-06,17.94550000000001,23.34
2021-04-07,22.17300000000001,25.87
2021-04-08,24.57650000000001,27.98
2021-04-09,26.58100000000001,25.9
2021-04-10,24.605000000000008,24.28
2021-04-11,23.06600000000001,34.91
2021-04-12,33.16450000000001,40.08
2021-04-13,38.076000000000015,34.69
2021-04-14,32.955500000000015,30.28
2021-04-15,28.766000000000012,26.41
2021-04-16,25.08950000000001,22.5
2021-04-17,21.37500000000001,21.42
2021-04-18,20.34900000000001,21.47
2021-04-19,20.396500000000007,19.98
2021-04-20,18.98100000000001,19.37
2021-04-21,18.40150000000001,18.9
2021-04-22,17.955000000000005,13.5
2021-04-23,12.825000000000005,14.23
2021-04-24,13.518500000000007,12.92
2021-04-25,12.274000000000004,14.02
2021-04-26,13.319000000000004,12.31
2021-04-27,11.694500000000005,11.91
2021-04-28,11.314500000000004,12.4
2021-04-29,11.780000000000005,12.1
2021-04-30,11.495000000000005,14.2
2021-05-01,13.490000000000006,13.62
2021-05-02,12.939000000000005,13.21
2021-05-03,12.549500000000005,12.41
2021-05-04,11.789500000000006,13.61
2021-05-05,12.929500000000004,19.26
2021-05-06,18.297000000000008,17.92
2021-05-07,17.024000000000008,15.55
2021-05-08,14.772500000000006,15.71
2021-05-09,14.924500000000007,14.79
2021-05-10,14.050500000000005,14.88
2021-05-11,14.136000000000006,14.83
2021-05-12,14.088500000000005,14.51
2021-05-13,13.784500000000005,16.6
2021-05-14,15.770000000000008,14.91
2021-05-15,14.164500000000006,15.43
2021-05-16,14.658500000000005,17.23
2021-05-17,16.368500000000008,20.18
2021-05-18,19.171000000000006,26.06
2021-05-19,24.75700000000001,28.62
2021-05-20,27.18900000000001,31.36
2021-05-21,29.792000000000012,25.49
2021-05-22,24.21550000000001,26.93
2021-05-23,25.58350000000001,25.64
2021-05-24,24.35800000000001,25.77
2021-05-25,24.48150000000001,28.42
2021-05-26,26.999000000000013,41.23
2021-05-27,39.168500000000016,47.68
2021-05-28,45.29600000000002,57.81
2021-05-29,54.91950000000003,47.99
2021-05-30,45.59050000000002,35.26
2021-05-31,33.497000000000014,28.14
2021-06-01,26.73300000000001,23.78
2021-06-02,22.59100000000001,20.39
2021-06-03,19.370500000000007,18.93
2021-06-04,17.983500000000006,20.09
2021-06-05,19.085500000000007,44.04
2021-06-06,41.838000000000015,37.43
2021-06-07,35.558500000000016,26.39
2021-06-08,25.07050000000001,22.68
2021-06-09,21.54600000000001,16.87
2021-06-10,16.02650000000001,13.56
2021-06-11,12.882000000000007,15.2
2021-06-12,14.440000000000005,10.24
2021-06-13,9.728000000000005,10.28
2021-06-14,9.766000000000004,7.94
2021-06-15,7.543000000000004,6.58
2021-06-16,6.251000000000003,5.93
2021-06-17,5.633500000000002,5.94
2021-06-18,5.6430000000000025,5.41
2021-06-19,5.139500000000003,6.07
2021-06-20,5.766500000000002,7.69
2021-06-21,7.305500000000004,28.07
2021-06-22,26.66650000000001,57.58
2021-06-23,54.70100000000002,40.66
2021-06-24,38.62700000000001,26.69
2021-06-25,25.355500000000013,18.87
2021-06-26,17.926500000000008,13.23
2021-06-27,12.568500000000006,11.66
2021-06-28,11.077000000000005,9.66
2021-06-29,9.177000000000003,9.76
2021-06-30,9.272000000000004,12.63
2021-07-01,11.998500000000005,11.82
2021-07-02,11.229000000000005,13.14
2021-07-03,12.483000000000006,10.99
2021-07-04,10.440500000000005,10.62
2021-07-05,10.089000000000004,18.42
2021-07-06,17.49900000000001,14.66
2021-07-07,13.927000000000007,10.4
2021-07-08,9.880000000000004,9.75
2021-07-09,9.262500000000005,7.65
2021-07-10,7.267500000000004,7.78
2021-07-11,7.391000000000004,8.37
2021-07-12,7.951500000000003,7.9
2021-07-13,7.5050000000000034,7.72
2021-07-14,7.334000000000003,6.89
2021-07-15,6.545500000000002,27.99
2021-07-16,26.59050000000001,31.48
2021-07-17,29.906000000000013,17.89
2021-07-18,16.995500000000007,14.57
2021-07-19,13.841500000000005,10.07
2021-07-20,9.566500000000005,8.38
2021-07-21,7.961000000000004,6.72
2021-07-22,6.384000000000002,6.49
2021-07-23,6.165500000000002,5.75
2021-07-24,5.462500000000002,5.57
2021-07-25,5.291500000000003,26.47
2021-07-26,25.14650000000001,35.72
2021-07-27,33.93400000000001,22.46
2021-07-28,21.33700000000001,18.84
2021-07-29,17.898000000000007,17.41
2021-07-30,16.539500000000007,13.4
2021-07-31,12.730000000000006,13.75
2021-08-01,13.062500000000005,18.63
2021-08-02,17.698500000000006,22.3
2021-08-03,21.18500000000001,13.53
2021-08-04,12.853500000000004,12.83
2021-08-05,12.188500000000005,11.21
2021-08-06,10.649500000000005,10.69
2021-08-07,10.155500000000004,9.91
2021-08-08,9.414500000000004,12.69
2021-08-09,12.055500000000004,10.91
2021-08-10,10.364500000000005,11.56
2021-08-11,10.982000000000005,11.25
2021-08-12,10.687500000000005,8.35
2021-08-13,7.932500000000003,7.78
2021-08-14,7.391000000000004,6.86
2021-08-15,6.517000000000003,5.91
2021-08-16,5.614500000000002,3.88
2021-08-17,3.6860000000000013,4.77
2021-08-18,4.531500000000001,5.07
2021-08-19,4.816500000000002,4.83
2021-08-20,4.588500000000002,5.56
2021-08-21,5.282000000000002,5.06
2021-08-22,4.807000000000001,9.14
2021-08-23,8.683000000000003,6.59
2021-08-24,6.260500000000002,8.51
2021-08-25,8.084500000000004,4.44
2021-08-26,4.218000000000002,5.44
2021-08-27,5.168000000000003,6.15
2021-08-28,5.842500000000003,5.96
2021-08-29,5.662000000000003,4.97
2021-08-30,4.721500000000002,6.91
2021-08-31,6.564500000000003,6.18
2021-09-01,5.871000000000002,5.69
2021-09-02,5.405500000000003,4.54
2021-09-03,4.3130000000000015,3.5
2021-09-04,3.3250000000000015,3.19
2021-09-05,3.0305000000000013,3.13
2021-09-06,2.9735000000000014,2.69
2021-09-07,2.555500000000001,3.29
2021-09-08,3.1255000000000015,2.78
2021-09-09,2.641000000000001,2.5
2021-09-10,2.375000000000001,3.91
2021-09-11,3.714500000000002,4.42
2021-09-12,4.199000000000002,6.89
2021-09-13,6.545500000000002,4.94
2021-09-14,4.693000000000002,4.29
2021-09-15,4.075500000000002,3.54
2021-09-16,3.3630000000000013,5.41
2021-09-17,5.139500000000003,7.55
2021-09-18,7.172500000000003,5.42
2021-09-19,5.149000000000002,4.47
2021-09-20,4.246500000000002,3.93
