Q,Qq,Qb,soil,wetness,Et,groundwater,percolation,target,date
1469.0828560193736,0.0,0.29378719248462626,16.044566325509237,0.021693455359067318,-18.614609571788414,449.6987799673417,0.20524324627917923,31.21,2021-03-28
2.165628787409446e-15,0.0,0.0,-4.3648,0.03703248323966818,5.0,449.6987799673417,0.0,23.73,2021-03-29
1912.2789871292018,0.0,0.38241755567027336,29.610336379043268,0.0075517733328358495,-34.357682619647356,449.6911290425296,0.3825462406040909,32.32,2021-03-30
96.83,0.02,0.0,-4.3648,0.05228004896555383,5.0,449.6911290425296,0.0,27.39,2021-03-31
1897.5238576526203,0.18,0.2051902525052736,29.61031690593105,0.01365079962319011,-34.357682619647356,449.68347772825524,0.3825657137163075,25.45,2021-04-01
96.83,0.02,0.0,-4.3648,0.054719627086499606,5.0,449.68347772825524,0.0,28.67,2021-04-02
48.415,0.01,0.0,29.610297431827576,0.014626630871568423,-34.357682619647356,449.67582602449886,0.3825851878197827,31.96,2021-04-03
2.2176704916887503e-15,0.0,0.0,-4.3648,0.05510992718900596,5.0,449.67582602449886,0.0,25.31,2021-04-04
1.7562340470789195e-15,0.0,0.0,-4.3648,0.02310068067227522,5.0,449.67582602449886,0.0,15.12,2021-04-05
1.0491607582707729e-15,0.0,0.0,-4.3648,0.07684042014321692,5.0,449.67582602449886,0.0,21.76,2021-04-06
1912.4285598583087,0.0,0.3824474672249393,-4.3648,0.17153409781699103,5.0,449.67582602449886,0.0,39.14,2021-04-07
2.715883073989289e-15,0.0,0.0,-4.3648,0.0779882786831735,5.0,449.67582602449886,0.0,35.77,2021-04-08
1912.525910013662,0.0,0.3824669353092015,29.61027795673279,0.023934091510237978,-34.357682619647356,449.6681739312406,0.38260466291456613,23.79,2021-04-09
242.07500000000002,0.05,0.0,-4.3648,0.05883287904597969,5.0,449.6681739312406,0.0,31.09,2021-04-10
4091.298265124522,0.45,0.38248640438446596,-4.3648,0.2475103789751386,5.0,449.6681739312406,0.0,40.6,2021-04-11
4308.935,0.89,0.0,16.044518924878822,0.09507010353090573,-18.614609571788414,449.6640681183024,0.20529064690959087,31.56,2021-04-12
2396.8706251911412,0.1,0.3825058744507832,-4.3648,0.09466402483637514,5.0,449.6640681183024,0.0,25.8,2021-04-13
1.790234627208065e-15,0.0,0.0,29.610248030543158,0.03060438997151864,-34.357682619647356,449.6564154265203,0.38263458910419956,25.76,2021-04-14
1026.2908233046976,0.0,0.20523764089684982,-4.3648,0.06482812054958499,5.0,449.6564154265203,0.0,25.14,2021-04-15
6729.685,1.3900000000000001,0.0,29.610228552933656,0.018670028256802574,-34.357682619647356,449.64876234518607,0.38265406671370333,30.75,2021-04-16
1123.1488530190356,0.02,0.20524324627917923,-4.3648,0.056727171557139314,5.0,449.64876234518607,0.0,27.58,2021-04-17
871.4699999999999,0.18,0.0,29.610209074332662,0.015429648659824305,-34.357682619647356,449.6411088742798,0.3826735453146942,25.51,2021-04-18
1912.9224761407568,0.0,0.3825462406040909,-4.3648,0.05543098731402103,5.0,449.6411088742798,0.0,26.03,2021-04-19
96.83,0.02,0.0,29.610189594740135,0.01491117496257699,-34.357682619647356,449.63345501378166,0.38269302490722273,23.57,2021-04-20
1913.0198514383956,0.0,0.3825657137163075,-4.3648,0.055223565429145624,5.0,449.63345501378166,0.0,21.37,2021-04-21
