DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
332,19150131,   12,     ,
332,19150201,   64,     ,
332,19150202,    3,     ,
332,19150203,  105,     ,
332,19150204,    0,     ,
332,19150205,    0,     ,
332,19150206,    0,     ,
332,19150207,   30,     ,
332,19150208,    0,     ,
332,19150209,    0,     ,
332,19150210,    0,     ,
332,19150211,    7,     ,
332,19150212,    6,     ,
332,19150213,   12,     ,
332,19150214,   82,     ,
332,19150215,   52,     ,
332,19150216,   14,     ,
332,19150217,    2,     ,
332,19150218,   52,     ,
332,19150219,   11,     ,
332,19150220,    0,     ,
332,19150221,   70,     ,
332,19150222,    0,     ,
332,19150223,    2,     ,
332,19150224,    2,     ,
332,19150225,    4,     ,
332,19150226,   13,     ,
332,19150227,    0,     ,
332,19150228,   55,     ,
332,19150301,  155,     ,
332,19150302,   38,     ,
332,19150303,   17,     ,
332,19150304,   45,     ,
332,19150305,   56,     ,
332,19150306,  108,     ,
332,19150307,    9,     ,
332,19150308,    5,     ,
332,19150309,   34,     ,
332,19150310,   54,     ,
332,19150311,    0,     ,
332,19150312,    0,     ,
332,19150313,    3,     ,
332,19150314,   24,     ,
332,19150315,    4,     ,
332,19150316,    0,     ,
332,19150317,    4,     ,
332,19150318,    8,     ,
332,19150319,   58,     ,
332,19150320,   37,     ,
332,19150321,    3,     ,
332,19150322,    0,     ,
332,19150323,    0,     ,
332,19150324,   23,     ,
332,19150325,   95,     ,
332,19150326,    2,     ,
332,19150327,    4,     ,
332,19150328,    0,     ,
332,19150329,    0,     ,
332,19150330,    0,     ,
332,19150331,    0,     ,
332,19150401,    0,     ,
332,19150402,    0,     ,
332,19150403,   31,     ,
332,19150404,   80,     ,
332,19150405,    2,     ,
332,19150406,   80,     ,
332,19150407,   60,     ,
332,19150408,   22,     ,
332,19150409,   10,     ,
332,19150410,   88,     ,
332,19150411,   34,     ,
332,19150412,    0,     ,
332,19150413,    0,     ,
332,19150414,    0,     ,
332,19150415,    0,     ,
332,19150416,    0,     ,
332,19150417,   18,     ,
332,19150418,    0,     ,
332,19150419,    0,     ,
332,19150420,    0,     ,
332,19150421,    0,     ,
332,19150422,    0,     ,
332,19150423,    0,     ,
332,19150424,    0,     ,
332,19150425,   55,     ,
332,19150426,    0,     ,
332,19150427,    0,     ,
332,19150428,    0,     ,
332,19150429,    0,     ,
332,19150430,    0,     ,
332,19150501,    0,     ,
332,19150502,   14,     ,
332,19150503,    1,     ,
332,19150504,    0,     ,
332,19150505,    0,     ,
332,19150506,   85,     ,
332,19150507,    1,     ,
332,19150508,    0,     ,
332,19150509,    0,     ,
332,19150510,    0,     ,
332,19150511,    0,     ,
332,19150512,    0,     ,
332,19150513,   16,     ,
332,19150514,  278,     ,
332,19150515,   56,     ,
332,19150516,   28,     ,
332,19150517,    0,     ,
332,19150518,   50,     ,
332,19150519,  105,     ,
332,19150520,    1,     ,
332,19150521,    0,     ,
332,19150522,    1,     ,
332,19150523,    0,     ,
332,19150524,    0,     ,
332,19150525,    0,     ,
332,19150526,    0,     ,
332,19150527,    0,     ,
332,19150528,    0,     ,
332,19150529,    0,     ,
332,19150530,    9,     ,
332,19150531,    1,     ,
332,19150601,    0,     ,
332,19150602,    0,     ,
332,19150603,    0,     ,
332,19150604,    0,     ,
332,19150605,    0,     ,
332,19150606,    0,     ,
332,19150607,    0,     ,
332,19150608,    0,     ,
332,19150609,    0,     ,
332,19150610,   25,     ,
332,19150611,    0,     ,
332,19150612,    0,     ,
332,19150613,    0,     ,
332,19150614,    0,     ,
332,19150615,    0,     ,
332,19150616,    0,     ,
332,19150617,    0,     ,
332,19150618,    0,     ,
332,19150619,    0,     ,
332,19150620,    0,     ,
332,19150621,    0,     ,
332,19150622,    0,     ,
332,19150623,    0,     ,
332,19150624,    0,     ,
332,19150625,   16,     ,
332,19150626,   36,     ,
332,19150627,   34,     ,
332,19150628,   20,     ,
332,19150629,   60,     ,
332,19150630,    2,     ,
332,19150701,    5,     ,
332,19150702,    0,     ,
332,19150703,    0,     ,
332,19150704,    0,     ,
332,19150705,    0,     ,
332,19150706,    0,     ,
332,19150707,    1,     ,
332,19150708,    2,     ,
332,19150709,   65,     ,
332,19150710,    0,     ,
332,19150711,   84,     ,
332,19150712,  153,     ,
332,19150713,   16,     ,
332,19150714,    0,     ,
332,19150715,  112,     ,
332,19150716,    0,     ,
332,19150717,   94,     ,
332,19150718,  130,     ,
332,19150719,    8,     ,
332,19150720,    0,     ,
332,19150721,   86,     ,
332,19150722,    0,     ,
332,19150723,   80,     ,
332,19150724,   38,     ,
332,19150725,   16,     ,
332,19150726,   10,     ,
